name,image,price,description,restaurant_id
Szechuan Shrimp,https://www.honestfoodtalks.com/wp-content/uploads/2022/09/szechuan-shrimp-with-vegetables.jpg,12.00,"Shrimp, spicy Szechuan sauce, vegetables",14
Egg Foo Young,https://www.recipetineats.com/wp-content/uploads/2019/02/Egg-Foo-Yung-5-SQ.jpg,9.50,"Omelette, vegetables, chicken or shrimp, gravy",14
Sesame Chicken,https://images.getrecipekit.com/20220921153135-sesame-chicken-2.png?aspect_ratio=16:9&quality=90&,11.00,"Crispy chicken, sweet and savory sesame sauce",14
BBQ Ribs,https://redhotandblue.com/wp-content/uploads/2022/04/st-louis-style-ribs.jpg,15.00,"Pork ribs, BBQ sauce, served with fries",15
Mac and Cheese,https://thebakermama.com/wp-content/uploads/2014/09/IMG_1588-scaled.jpg,8.00,"Macaroni, creamy cheese sauce, breadcrumbs",15
Caesar Salad,https://staticcookist.akamaized.net/wp-content/uploads/sites/21/2021/07/Caesar-salad-0D6A0393.jpg,7.00,"Romaine lettuce, croutons, Parmesan cheese, Caesar dressing",15
Pulled Pork Sandwich,https://saltpepperskillet.com/wp-content/uploads/pulled-pork-sandwiches-on-butcher-paper-horizontal.jpg,10.00,"Slo,ooked pork, BBQ sauce, coleslaw, bun",15
Buffalo Wings,https://mccormick.widen.net/content/n0phdkxdlp/jpeg/Franks_RedHot_Buffalo_Chicken_Wings.jpg,9.50,"Chicken wings, spicy buffalo sauce, blue cheese dressing",15
Baba Ganoush,https://beautyfoodblog.com/wp-content/uploads/2020/09/ricetta-babaganoush-facile-e-veloce-how-to-make-easy-creamy-baba-ganoush-recipe.jpg,6.50,"Eggplant, tahini, garlic, lemon juice, olive oil",16
Mujaddara,https://feelgoodfoodie.net/wp-content/uploads/2019/04/Mujadara-14.jpg,7.00,"Lentils, rice, caramelized onions",16
Tabbouleh,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flickr_-_cyclonebill_-_Tabbouleh.jpg/2560px-Flickr_-_cyclonebill_-_Tabbouleh.jpg,6.00,"Parsley, bulgur, tomato, lemon, olive oil",16
Hummus,https://hips.hearstapps.com/hmg-prod/images/hummus-horizontal-jpg-1525126330.jpg,5.50,"Chickpeas, tahini, garlic, lemon juice",16
Pita Bread,https://hips.hearstapps.com/hmg-prod/images/delish-190621-homemade-pita-0159-landscape-pf-1567692674.jpg,2.00,"Soft, fluffy bread, served warm",16
Focaccia Barese,https://www.finedininglovers.it/sites/g/files/xknfdk1106/files/2022-02/focaccia%20barese%20-%20Fine%20Dining%20Lovers.jpg,6.00,"Flatbread, tomatoes, olives, oregano",17
Gamberi alla Busara,https://www.ilblogdicuciniamo.it/wp-content/uploads/2017/03/busara2-800x600.jpg,15.00,"Shrimp, garlic, tomato sauce, parsley",17
Polenta e Osei,https://www.casapappagallo.it/storage/19585/polenta-e-osei.jpg,12.00,"Polenta, bird meat, mushroom sauce",17
Risotto al Nero di Seppia,https://casadivita.despar.it/app/uploads/2020/12/risotto-seppia.jpg,14.00,"Rice, cuttlefish, black ink, onions",17
Sarde in Saor,https://www.fattoincasadabenedetta.it/wp-content/uploads/2023/02/SARDE-IN-SAOR-1000x560-sito_cover.jpg,10.00,"Sardines, onions, vinegar, pine nuts, raisins",17
Nikujaga,https://upload.wikimedia.org/wikipedia/commons/a/ac/Braised_pork_and_potatoes_%283089327692%29.jpg,11.00, "Beef, potatoes, onions, sweet soy",18
Chawanmushi,https://upload.wikimedia.org/wikipedia/commons/f/ff/Chawan_Mushi_in_Honolulu%2C_Hawaii.jpg,7.50,"Egg custard, chicken, shrimp, mushroom",18
Kare Raisu,https://as1.ftcdn.net/v2/jpg/02/93/76/28/1000_F_293762838_fzuq5HK5Ca1VS1JorbzU5ir81MLKCfKh.jpg,10.00,"Rice, Japanese curry, meat, vegetables",18
Oyakodon,https://t4.ftcdn.net/jpg/04/47/89/23/360_F_447892381_03wZVz8IIgEnZAWdLAno9Y5cOnpbU5up.jpg,9.00,"Chicken, egg, onion, rice",18
Udon con Tempura,https://previews.123rf.com/images/topntp/topntp1804/topntp180403147/99418254-tagliatelle-di-ramon-udon-con-tempura-di-gamberi-isolato-su-sfondo-bianco.jpg,13.00,"Udon noodles, tempura shrimp, broth",18
Kolokythoanthoi,https://greekcitytimes.com/wp-content/uploads/2017/06/IMG_9024-1200x900.jpg,7.50, "Stuffed zucchini flowers, rice, herbs",19
Kotopita,https://4.bp.blogspot.com/-SvllnGxNjuE/T47UJSro9VI/AAAAAAAAAAY/yqk02VSjVwY/s1600/kotopita.jpg,9.00, "Chicken pie, filo pastry, feta cheese",19
Melitzanosalata,https://www.misya.info/wp-content/uploads/2015/04/Melitzanosalata.jpg,6.00, "Eggplant dip, garlic, olive oil, lemon",19
Fava,https://www.solonatura.bio/blog/wp-content/uploads/2019/03/fava-big-1030x608.jpeg,5.50, "Yellow split pea puree, onions, olive oil",19
Galaktoboureko,https://www.dianekochilas.com/wp-content/uploads/2020/02/galaktoboureko-930x620.jpg,7.00, "Custard pie, filo, syrup",19
Vegan Mushroom Stroganoff,https://rainbowplantlife.com/wp-content/uploads/2019/02/stroganoff11of1-819x1024-1.jpg,12.00,"Mushrooms, vegan sour cream, pasta",20
Vegan Chili,https://lovingitvegan.com/wp-content/uploads/2022/04/Vegan-Chili-Square.jpg,10.00,"Beans, tomatoes, vegan ground meat, spices",20
Vegan Cobb Salad,https://simple-veganista.com/wp-content/uploads/2019/07/vegan-cobb-salad_.jpg,9.50,"Lettuce, vegan bacon, avocado, vegan cheese",20
Vegan Banana Bread,https://lovingitvegan.com/wp-content/uploads/2021/01/Vegan-Banana-Bread-15.jpg,5.00,"Banana, flour, vegan butter, walnuts",20
Vegan Shepherd's Pie,https://elavegan.com/wp-content/uploads/2021/12/a-piece-of-vegan-Shepherds-pie-on-a-small-plate.jpg,11.00,"Lentils, vegetables, mashed potato topping",20
Carpaccio di Manzo,https://www.giallozafferano.it/images/6-644/Carpaccio-di-manzo-con-rucola-e-grana_780x520_wm.jpg,14.00,"Thinly sliced raw beef, arugula, Parmesan",21
Pappa al Pomodoro,https://www.cucchiaio.it/content/cucchiaio/it/ricette/2012/01/ricetta-pappa-pomodoro/jcr:content/header-par/image_single.img10.jpg/1503951891130.jpg,8.00,"Tomato bread soup, garlic, basil, olive oil",21
Cacciucco,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Cacciucco.jpg/1200px-Cacciucco.jpg,16.50,"Fish stew, tomatoes, garlic, chili pepper",21
Vitello Tonnato,https://media.istockphoto.com/id/1074239904/it/foto/piatto-di-fette-di-carne-di-carne-di-mare-con-maionese-di-tonno-e-capperi.jpg?s=612x612&w=0&k=20&c=tHlxUNTU3Fh0Thq2PBZZPNrTu9uzJjGcumLRmPFRgjM=,15.00,"Thinly sliced veal, creamy tuna sauce, capers",21
Zuppa Toscana,https://www.microbiologiaitalia.it/wp-content/uploads/2023/08/zuppa-toscana.jpg,9.00,"Sausage, potatoes, kale, onions, cream",21
Dragon and Phoenix,https://wokstarchinese.com/wp-content/uploads/2021/04/Dragon-and-phoenix-WokStarChineseMenu-499C.jpg,14.00,"Spicy chicken and shrimp, vegetables",22
Lion's Head Meatballs,https://www.simplyrecipes.com/thmb/yNzCPKDR-AauH5PuX4zilhtT2KY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-Lions-Head-Meatball-LEAD-03-0b670f6863104897bc5588483c96fd48.jpg,12.00,"Pork meatballs, cabbage, ginger sauce",22
Honey Walnut Shrimp,https://bellyfull.net/wp-content/uploads/2021/07/Honey-Walnut-Shrimp-blog-2.jpg,13.00,"Fried shrimp, creamy honey sauce, candied walnuts",22
Moo Goo Gai Pan,https://iheartumami.com/wp-content/uploads/2021/08/Stir-Fried-Chicken-with-Mushrooms-in-a-wok-I-Heart-Umami-5.jpg,11.00,"Chicken, mushrooms, bamboo shoots, white sauce",22
Beef with Bitter Melon,https://thewoksoflife.com/wp-content/uploads/2015/07/beef-with-bitter-melon-8.jpg,10.00,"Beef slices, bitter melon, black bean sauce",22
Reuben Sandwich,https://cdn.apartmenttherapy.info/image/upload/v1639523069/k/Photo/Recipes/2021-12-Reuben-Sandwich/danielle-acken-the-kitchn-reuben-sandwich-2-cropped.jpg,10.50, "Corned beef, Swiss cheese, sauerkraut, rye bread, Russian dressing",23
Biscuits and Gravy,https://t4.ftcdn.net/jpg/01/72/71/25/360_F_172712571_RNFzBBz7CU7BaKmWoZrnd08gUIO2XN9p.jpg,8.00, "Soft biscuits, creamy sausage gravy",23
Deep Dish Pizza,https://assets.tmecosys.com/image/upload/t_web767x639/img/recipe/ras/Assets/02ea0224-7316-406d-bb3d-5ed36e17a7b6/Derivates/85848d56-2911-4221-950f-b071d2d8fedf.jpg,14.00, "Thick crust pizza, cheese, tomato sauce, toppings",23
Cobb Salad,https://www.herwholesomekitchen.com/wp-content/uploads/2021/02/cobbsaladrecipe-1.jpg,9.50, "Lettuce, chicken, avocado, bacon, blue cheese, egg",23
Jambalaya,https://media.istockphoto.com/id/537314539/photo/spicy-homemade-cajun-jambalaya.jpg?s=612x612&w=0&k=20&c=pYEoXeQ5fJ4Mzqw9wUFxAEHOd7dBSw95lNV4mtf_uaY=,12.00, "Rice, chicken, shrimp, sausage, Creole seasoning",23
Kanafeh,https://i.pinimg.com/736x/5c/52/e4/5c52e4cd9822a681bdd8f2e619c4094d.jpg,7.00, "Sweet cheese pastry, syrup, pistachios",24
Sfiha,https://media.istockphoto.com/id/1315080317/it/foto/sfiha-di-carne-araba-sul-tavolo.jpg?s=612x612&w=0&k=20&c=e02-jwkfcztZNvJBftrg9AgaM0qrtEhDZGhAa3VTXFk=,8.50, "Open-faced meat pies, tomatoes, spices",24
Harira,https://ilvasodipandoro.com/wp-content/uploads/2021/04/harira-zuppa-marocchina-ramadan.jpg,9.00, "Tomato soup, lentils, chickpeas, herbs",24
Fatayer,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Fatayer.jpg/1200px-Fatayer.jpg,7.00, "Spinach or meat stuffed pastries",24
Kibbeh Nayeh,https://thelebaneseplate.com/product_images/uploaded_images/kibbe-20200921-0000.jpg,12.00, "Raw minced meat, bulgur, spices",24
Tortellini in Brodo,https://www.giallozafferano.it/images/231-23110/Tortellini-in-brodo_650x433_wm.jpg,11.00,"Mea,illed tortellini, clear broth",25
Cotoletta alla Milanese,https://upload.wikimedia.org/wikipedia/commons/2/2b/Cotoletta_alla_milanese.jpg,15.00,"Breaded veal cutlet, fried",25
Insalata di Mare,https://www.giallozafferano.it/images/211-21160/Insalata-di-mare_650x433_wm.jpg,13.00,"Seafood salad, lemon, olive oil",25
Zuppa di Cozze,https://staticcookist.akamaized.net/wp-content/uploads/sites/21/2022/03/Zuppa-di-cozze-foto-finale.jpg,12.00,"Mussels, garlic, tomato broth",25
Panzotti al Pesto,https://www.aiafood.com/sites/default/files/styles/scale_1200/public/paragraph/images/pansoti_pesto.jpg?itok=plz7yX1t,14.00,"Stuffed pasta, pesto sauce",25
Ika Yaki,https://thumbs.dreamstime.com/b/grilled-ika-yaki-fresh-squid-grill-sliced-rings-tentacles-white-background-fresh-squid-grill-sliced-rings-157124874.jpg,9.00, "Grilled squid, soy sauce",26
Hijiki Salad,https://www.justonecookbook.com/wp-content/uploads/2020/05/Hijiki-Seaweed-Salad-6692-II.jpg,7.00, "Seaweed, soybeans, carrots, sesame dressing",26
Tsukemono,https://media.istockphoto.com/id/1226105584/it/foto/cibo-giapponese-verdure-sale-sottaceto-tsukemono.jpg?s=612x612&w=0&k=20&c=-q-DQyldMf1QcjNl_vho4ES8sQ-WZUFG_XZAkOTIfGQ=,5.00, "Assorted Japanese pickles",26
Kani Salad,https://littlesunnykitchen.com/wp-content/uploads/Kani-Salad-12.jpg,8.00, "Crab meat, mayonnaise, cucumber, caviar",26
Yakisoba,https://media.istockphoto.com/id/1313734596/it/foto/noodles-yakisoba-piatto-yakisoba-con-carne-pollo-e-verdure.jpg?s=170667a&w=0&k=20&c=UqhKMigOZ0JHWfyaR6PCoWMZZ5YG_WVly1mI_ET3cok=,10.00, "Fried noodles, pork, vegetables, soy sauce",26
Gemista,https://primochef.it/wp-content/uploads/2022/03/SH_gemista.jpg,9.00, "Stuffed tomatoes and peppers, rice, herbs",27
Moussakas,https://t3.ftcdn.net/jpg/06/31/65/34/360_F_631653440_cgeEqgvlJZDdUWHPYAsmiuzrI2qKEoca.jpg,13.00, "Layered eggplant, minced meat, béchamel sauce",27
Octopus Grilliato,https://www.misya.info/wp-content/uploads/2020/06/polpo-alla-griglia.jpg,14.00, "Grilled octopus, olive oil, oregano",27
Saganaki,https://as2.ftcdn.net/v2/jpg/03/26/49/73/1000_F_326497316_Xw9s3kxglTTL6G1HwEnos9B5pdzcYuow.jpg,8.00, "Fried cheese, lemon juice",27
Ellinikos,https://www.mygreekdish.com/wp-content/uploads/2018/11/Greek-coffee-Ellinikos-Kafes-recipe-How-to-make-Greek-coffee-scaled.jpg,4.50, "Greek coffee",27
Vegan Stuffed Bell Peppers,https://www.aheadofthyme.com/wp-content/uploads/2018/07/vegan-stuffed-peppers.jpg,10.00, "Bell peppers, quinoa, black beans, corn, spices",28
Vegan Ratatouille,https://nutriciously.com/wp-content/uploads/Tian-Ratatouille-by-Nutriciously-4-720x720.jpg.webp,11.00, "Zucchini, eggplant, bell peppers, tomato sauce",28
Vegan Paella,https://www.shutterstock.com/image-photo/traditional-middle-east-kefta-kofta-260nw-1637096575.jpg,12.00, "Rice, saffron, mixed vegetables, artichokes, peas",28
Vegan Goulash,https://thepeskyvegan.com/wp-content/uploads/2021/10/vegan-goulash-meat-free-feature.jpg,10.50, "Meat substitute, potatoes, carrots, paprika, tomatoes",28
Vegan Bao Buns,https://cdn77-s3.lazycatkitchen.com/wp-content/uploads/2017/03/vegan-bao-buns-single-800x1200.jpg,9.00, "Steamed buns, mushroom filling, hoisin sauce",28
Gnocchi alla Sorrentina,https://www.giallozafferano.it/images/ricette/197/19745/foto_hd/hd650x433_wm.jpg,12.50,"Potato gnocchi, tomato sauce, mozzarella, basil",29
Risotto alla Pescatora,https://cdn.cook.stbm.it/thumbnails/ricette/25/25947/hd750x421.jpg,15.00,"Risotto, mixed seafood, tomato sauce, garlic",29
